dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
ocean_temp_cuszp_1e3,cuszp,write,268.5021,0.0000,37.7680,0.0273,226.5539,14.8848,0.0000,22.8832,14.8848,4.1529,0.015467
ocean_temp_cuszp_1e3,cuszp,read,209.6405,0.0000,82.9568,0.0000,107.0310,0.0000,0.0000,82.9568,0.0000,19.6527,0.093745
ocean_temp_cuszp_1e3,cuszp,write,191.9160,0.0000,31.7998,0.0164,155.9647,6.8292,0.0000,24.9707,6.8292,4.1351,0.021546
ocean_temp_cuszp_1e3,cuszp,read,160.2874,0.0000,81.0869,0.0000,66.2372,0.0000,0.0000,81.0869,0.0000,12.9633,0.080875
ocean_temp_cuszp_1e3,cuszp,write,199.3954,0.0000,41.4560,0.0281,153.6805,17.8286,0.0000,23.6274,17.8286,4.2308,0.021218
ocean_temp_cuszp_1e3,cuszp,read,161.9853,0.0000,85.1166,0.0000,54.9278,0.0000,0.0000,85.1166,0.0000,21.9410,0.135450
ocean_temp_cuszp_1e3,cuszp,write,180.7739,0.0000,26.6608,0.0162,149.8725,3.6820,0.0000,22.9788,3.6820,4.2244,0.023368
ocean_temp_cuszp_1e3,cuszp,read,169.5939,0.0000,81.8782,0.0000,74.8180,0.0000,0.0000,81.8782,0.0000,12.8978,0.076051
ocean_temp_cuszp_1e3,cuszp,write,269.7904,0.0000,37.5857,0.0285,227.9608,15.1193,0.0000,22.4664,15.1193,4.2154,0.015625
ocean_temp_cuszp_1e3,cuszp,read,185.7873,0.0000,86.2226,0.0000,70.8372,0.0000,0.0000,86.2226,0.0000,28.7275,0.154626
ocean_temp_cuszp_1e3,cuszp,write,206.3322,0.0000,26.2808,0.0181,175.6962,3.6493,0.0000,22.6315,3.6493,4.3371,0.021020
ocean_temp_cuszp_1e3,cuszp,read,129.1576,0.0000,79.0151,0.0000,37.0823,0.0000,0.0000,79.0151,0.0000,13.0602,0.101119
ocean_temp_cuszp_1e3,cuszp,write,211.2377,0.0000,39.3378,0.0282,167.6270,15.1111,0.0000,24.2266,15.1111,4.2447,0.020095
ocean_temp_cuszp_1e3,cuszp,read,190.6660,0.0000,83.0837,0.0000,83.7883,0.0000,0.0000,83.0837,0.0000,23.7940,0.124794
ocean_temp_cuszp_1e3,cuszp,write,179.6712,0.0000,31.4718,0.0176,143.9425,6.2080,0.0000,25.2638,6.2080,4.2393,0.023595
ocean_temp_cuszp_1e3,cuszp,read,231.9862,0.0000,78.9263,0.0000,68.7453,0.0000,0.0000,78.9263,0.0000,84.3146,0.363447
ocean_temp_cuszp_1e3,cuszp,write,181.6293,0.0000,39.1965,0.0277,138.1855,14.9351,0.0000,24.2614,14.9351,4.2196,0.023232
ocean_temp_cuszp_1e3,cuszp,read,151.0248,0.0000,82.3740,0.0000,49.9960,0.0000,0.0000,82.3740,0.0000,18.6547,0.123521
ocean_temp_cuszp_1e3,cuszp,write,206.9383,0.0000,26.8097,0.0165,175.8905,3.6681,0.0000,23.1416,3.6681,4.2216,0.020400
