dataset,compressor,path,op,phase,ms,ratio,rmse
miranda,zfp_gpu_r8,vol,write,total,20.8305,63.9998,
miranda,zfp_gpu_r8,vol,write,flush,0.3418,,
miranda,zfp_gpu_r8,vol,write,sync,101.1161,,
miranda,zfp_gpu_r8,vol,write,close,0.1822,,
miranda,zfp_gpu_r8,vol,write,csync,65.3447,,
miranda,zfp_gpu_r8,vol,read,evict,2.5051,,
miranda,zfp_gpu_r8,vol,read,total,77.6430,,2.126550e+00
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_prof_device.h5,ALL,vol,write,file,189.0306,63.9998,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_prof_device.h5,ALL,vol,read,file,78.0887,,
