dataset,compressor,path,op,phase,ms,ratio,rmse
miranda,zfp_gpu_r8,vol,write,total,203.2355,8.0000,
miranda,zfp_gpu_r8,vol,write,flush,0.2675,,
miranda,zfp_gpu_r8,vol,write,sync,123.6512,,
miranda,zfp_gpu_r8,vol,write,close,0.1607,,
miranda,zfp_gpu_r8,vol,write,csync,49.2086,,
miranda,zfp_gpu_r8,vol,read,evict,3.6709,,
miranda,zfp_gpu_r8,vol,read,total,88.4868,,6.719211e-06
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_gate.h5,ALL,vol,write,file,380.5962,8.0000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_gate.h5,ALL,vol,read,file,88.7989,,
