dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,314.8837,7.8400,
scale-T,zfp_gpu_r4,vol,write,flush,0.2945,,
scale-T,zfp_gpu_r4,vol,write,sync,137.9183,,
scale-T,zfp_gpu_r4,vol,write,close,0.1938,,
scale-T,zfp_gpu_r4,vol,write,csync,47.1994,,
scale-T,zfp_gpu_r4,vol,read,evict,1.1347,,
scale-T,zfp_gpu_r4,vol,read,total,227.8910,,2.433547e-05
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_san.h5,ALL,vol,write,file,501.6507,7.8400,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_san.h5,ALL,vol,read,file,228.1907,,
