dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
s3d,zfp_gpu_r4,gpu,1,0,1000000000,7812516,127.9997,1.0667,109.8176,0.3466,100.0196,0.1956,76.9567,1.1700,0.4844,212.8610,2.230670e-02,0.000000e+00,3.920002e-02,-1
s3d,zfp_gpu_r8,gpu,1,0,1000000000,15625016,63.9999,0.4699,363.8961,0.2938,124.1456,0.1551,98.6614,1.1357,0.2692,287.4941,2.230670e-02,0.000000e+00,3.920002e-02,-1
s3d,zfp_gpu_r12,gpu,1,0,1000000000,23437516,42.6666,0.5644,231.3717,0.2222,213.5739,0.1204,102.7810,4.1395,0.2756,228.8163,2.230670e-02,0.000000e+00,3.920002e-02,-1
s3d,zfp_gpu_r16,gpu,1,0,1000000000,31250016,32.0000,0.7262,284.7917,0.2357,116.7453,0.1489,123.7625,5.1251,0.3938,234.5417,2.230670e-02,0.000000e+00,3.920002e-02,-1
