dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
scale-T,zfp_gpu_r4,gpu,1,0,564480000,9000016,62.7199,1.1648,75.6089,0.3483,94.7441,0.2133,105.1967,1.2009,0.3061,138.6523,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r8,gpu,1,0,564480000,18000016,31.3600,0.4541,180.7379,0.2063,138.9410,0.1387,53.9992,4.0084,0.2690,144.4723,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r12,gpu,1,0,564480000,27000016,20.9067,0.4798,296.1847,0.2199,117.5381,0.1140,139.9984,4.2246,0.2694,146.3349,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r16,gpu,1,0,564480000,36000016,15.6800,0.6749,238.6632,0.2339,125.8926,0.1455,67.4132,1.1894,0.2687,453.3622,5.521381e+00,0.000000e+00,5.754571e+00,-1
