dataset,compressor,path,op,phase,ms,ratio,rmse
s3d,zfp_gpu_r4,vol,write,total,175.5431,127.9997,
s3d,zfp_gpu_r4,vol,write,flush,0.3503,,
s3d,zfp_gpu_r4,vol,write,sync,151.8838,,
s3d,zfp_gpu_r4,vol,write,close,6.8922,,
s3d,zfp_gpu_r4,vol,write,csync,86.0629,,
s3d,zfp_gpu_r4,vol,read,evict,1.2289,,
s3d,zfp_gpu_r4,vol,read,total,212.2812,,2.230670e-02
s3d,zfp_gpu_r8,vol,write,total,108.2094,63.9999,
s3d,zfp_gpu_r8,vol,write,flush,0.2873,,
s3d,zfp_gpu_r8,vol,write,sync,112.2400,,
s3d,zfp_gpu_r8,vol,write,close,0.1880,,
s3d,zfp_gpu_r8,vol,write,csync,122.5674,,
s3d,zfp_gpu_r8,vol,read,evict,1.1739,,
s3d,zfp_gpu_r8,vol,read,total,226.7576,,2.230670e-02
s3d,zfp_gpu_r12,vol,write,total,206.8126,42.6666,
s3d,zfp_gpu_r12,vol,write,flush,0.2251,,
s3d,zfp_gpu_r12,vol,write,sync,347.1000,,
s3d,zfp_gpu_r12,vol,write,close,0.1472,,
s3d,zfp_gpu_r12,vol,write,csync,68.8868,,
s3d,zfp_gpu_r12,vol,read,evict,4.5540,,
s3d,zfp_gpu_r12,vol,read,total,300.9325,,2.230670e-02
s3d,zfp_gpu_r16,vol,write,total,285.4642,32.0000,
s3d,zfp_gpu_r16,vol,write,flush,0.2252,,
s3d,zfp_gpu_r16,vol,write,sync,102.9936,,
s3d,zfp_gpu_r16,vol,write,close,0.1149,,
s3d,zfp_gpu_r16,vol,write,csync,115.8783,,
s3d,zfp_gpu_r16,vol,read,evict,4.9048,,
s3d,zfp_gpu_r16,vol,read,total,237.0093,,2.230670e-02
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_none_s3d.h5,ALL,vol,write,file,1894.7858,51.2000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_none_s3d.h5,ALL,vol,read,file,978.3412,,
