dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
scale-T,zfp_gpu_r4,gpu,1,0,564480000,9000016,62.7199,1.1542,74.6921,0.3503,119.5813,0.2321,82.9324,1.2055,0.3090,132.4492,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r8,gpu,1,0,564480000,18000016,31.3600,0.4601,259.5682,0.2104,178.6974,0.1458,47.0394,3.8651,0.2707,145.1544,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r12,gpu,1,0,564480000,27000016,20.9067,0.4884,270.3858,0.2322,108.9080,0.1175,95.6064,1.7001,0.2765,147.0014,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r16,gpu,1,0,564480000,36000016,15.6800,0.4963,223.8867,0.2268,116.9124,0.1138,54.4562,1.4762,0.2715,403.3661,5.521381e+00,0.000000e+00,5.754571e+00,-1
