dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
s3d,zfp_gpu_r4,gpu,1,0,1000000000,7812516,127.9997,1.1090,175.5431,0.3503,151.8838,6.8922,86.0629,1.2289,0.4891,212.2812,2.230670e-02,0.000000e+00,3.920002e-02,-1
s3d,zfp_gpu_r8,gpu,1,0,1000000000,15625016,63.9999,0.4695,108.2094,0.2873,112.2400,0.1880,122.5674,1.1739,0.2720,226.7576,2.230670e-02,0.000000e+00,3.920002e-02,-1
s3d,zfp_gpu_r12,gpu,1,0,1000000000,23437516,42.6666,0.6550,206.8126,0.2251,347.1000,0.1472,68.8868,4.5540,0.3240,300.9325,2.230670e-02,0.000000e+00,3.920002e-02,-1
s3d,zfp_gpu_r16,gpu,1,0,1000000000,31250016,32.0000,0.4795,285.4642,0.2252,102.9936,0.1149,115.8783,4.9048,0.2756,237.0093,2.230670e-02,0.000000e+00,3.920002e-02,-1
