dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,23.5830,62.7199,
scale-T,zfp_gpu_r4,vol,write,flush,0.3488,,
scale-T,zfp_gpu_r4,vol,write,sync,186.7708,,
scale-T,zfp_gpu_r4,vol,write,close,0.2241,,
scale-T,zfp_gpu_r4,vol,write,csync,88.0800,,
scale-T,zfp_gpu_r4,vol,read,evict,1.2106,,
scale-T,zfp_gpu_r4,vol,read,total,138.0425,,5.131883e+00
scale-T,zfp_gpu_r8,vol,write,total,124.8224,31.3600,
scale-T,zfp_gpu_r8,vol,write,flush,0.3145,,
scale-T,zfp_gpu_r8,vol,write,sync,136.0370,,
scale-T,zfp_gpu_r8,vol,write,close,0.1345,,
scale-T,zfp_gpu_r8,vol,write,csync,48.6016,,
scale-T,zfp_gpu_r8,vol,read,evict,3.9347,,
scale-T,zfp_gpu_r8,vol,read,total,146.1331,,5.131883e+00
scale-T,zfp_gpu_r12,vol,write,total,232.7884,20.9067,
scale-T,zfp_gpu_r12,vol,write,flush,0.2284,,
scale-T,zfp_gpu_r12,vol,write,sync,147.3979,,
scale-T,zfp_gpu_r12,vol,write,close,0.1255,,
scale-T,zfp_gpu_r12,vol,write,csync,166.2601,,
scale-T,zfp_gpu_r12,vol,read,evict,1.0296,,
scale-T,zfp_gpu_r12,vol,read,total,154.3101,,5.131883e+00
scale-T,zfp_gpu_r16,vol,write,total,188.2892,15.6800,
scale-T,zfp_gpu_r16,vol,write,flush,0.2670,,
scale-T,zfp_gpu_r16,vol,write,sync,158.3097,,
scale-T,zfp_gpu_r16,vol,write,close,0.1525,,
scale-T,zfp_gpu_r16,vol,write,csync,103.9705,,
scale-T,zfp_gpu_r16,vol,read,evict,1.1797,,
scale-T,zfp_gpu_r16,vol,read,total,586.7719,,5.521381e+00
