dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
miranda,zfp_gpu_r4,gpu,1,0,301989888,2359312,127.9991,1.1009,16.3013,0.5213,125.0715,0.2509,58.0941,1.2422,0.3056,74.3526,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r8,gpu,1,0,301989888,4718608,63.9998,0.4852,10.7769,0.2827,104.0395,0.1202,41.0770,2.8444,0.2696,69.7128,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r12,gpu,1,0,301989888,7077904,42.6666,0.4910,11.6783,0.3059,165.7984,0.1311,70.1874,1.0740,0.2746,74.9416,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r16,gpu,1,0,301989888,9437200,31.9999,0.6892,12.5422,0.2951,138.0868,0.1713,86.2915,1.0569,0.2717,76.6372,2.126550e+00,0.000000e+00,3.000046e+00,-1
