dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
nyx_baryon,zfp_gpu_r4,gpu,1,0,536870912,8388624,63.9999,0.9619,70.3200,0.3429,110.8690,0.2017,86.4079,1.2422,0.2773,131.6751,inf,0.000000e+00,inf,-1
nyx_baryon,zfp_gpu_r8,gpu,1,0,536870912,16777232,32.0000,0.4801,158.8858,0.2101,154.1380,0.1443,35.4667,7.1531,0.2754,139.5877,inf,0.000000e+00,inf,-1
nyx_baryon,zfp_gpu_r12,gpu,1,0,536870912,25165840,21.3333,0.5022,308.7386,0.2211,126.9133,0.1185,155.4728,5.9755,0.3956,140.3251,inf,0.000000e+00,inf,-1
nyx_baryon,zfp_gpu_r16,gpu,1,0,536870912,33554448,16.0000,0.5165,182.0811,0.2708,122.8537,0.1193,40.1308,4.2271,0.2745,168.2376,6.201415e-01,0.000000e+00,1.166017e+01,-1
