dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
scale-T,zfp_gpu_r4,gpu,1,0,564480000,9000016,62.7199,1.1573,23.5830,0.3488,186.7708,0.2241,88.0800,1.2106,0.3047,138.0425,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r8,gpu,1,0,564480000,18000016,31.3600,0.4637,124.8224,0.3145,136.0370,0.1345,48.6016,3.9347,0.2671,146.1331,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r12,gpu,1,0,564480000,27000016,20.9067,0.5354,232.7884,0.2284,147.3979,0.1255,166.2601,1.0296,0.2745,154.3101,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r16,gpu,1,0,564480000,36000016,15.6800,0.6647,188.2892,0.2670,158.3097,0.1525,103.9705,1.1797,0.2720,586.7719,5.521381e+00,0.000000e+00,5.754571e+00,-1
