dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,115.6637,62.7199,
scale-T,zfp_gpu_r4,vol,write,flush,0.3412,,
scale-T,zfp_gpu_r4,vol,write,sync,152.3150,,
scale-T,zfp_gpu_r4,vol,write,close,0.2305,,
scale-T,zfp_gpu_r4,vol,write,csync,100.7501,,
scale-T,zfp_gpu_r4,vol,read,evict,2.5981,,
scale-T,zfp_gpu_r4,vol,read,total,165.1944,,inf
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_san.h5,ALL,vol,write,file,370.5058,62.7199,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_san.h5,ALL,vol,read,file,165.5073,,
