dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,72.9605,62.7199,
scale-T,zfp_gpu_r4,vol,write,flush,0.3605,,
scale-T,zfp_gpu_r4,vol,write,sync,175.5312,,
scale-T,zfp_gpu_r4,vol,write,close,0.2365,,
scale-T,zfp_gpu_r4,vol,write,csync,118.6113,,
scale-T,zfp_gpu_r4,vol,read,evict,1.1923,,
scale-T,zfp_gpu_r4,vol,read,total,133.7236,,5.131883e+00
scale-T,zfp_gpu_r8,vol,write,total,307.6580,31.3600,
scale-T,zfp_gpu_r8,vol,write,flush,0.2120,,
scale-T,zfp_gpu_r8,vol,write,sync,123.7066,,
scale-T,zfp_gpu_r8,vol,write,close,0.1289,,
scale-T,zfp_gpu_r8,vol,write,csync,47.7903,,
scale-T,zfp_gpu_r8,vol,read,evict,4.3876,,
scale-T,zfp_gpu_r8,vol,read,total,144.2564,,5.131883e+00
scale-T,zfp_gpu_r12,vol,write,total,202.6774,20.9067,
scale-T,zfp_gpu_r12,vol,write,flush,0.2309,,
scale-T,zfp_gpu_r12,vol,write,sync,133.1939,,
scale-T,zfp_gpu_r12,vol,write,close,0.1147,,
scale-T,zfp_gpu_r12,vol,write,csync,132.8142,,
scale-T,zfp_gpu_r12,vol,read,evict,2.9705,,
scale-T,zfp_gpu_r12,vol,read,total,147.8186,,5.131883e+00
scale-T,zfp_gpu_r16,vol,write,total,188.0569,15.6800,
scale-T,zfp_gpu_r16,vol,write,flush,0.2431,,
scale-T,zfp_gpu_r16,vol,write,sync,192.1732,,
scale-T,zfp_gpu_r16,vol,write,close,0.1464,,
scale-T,zfp_gpu_r16,vol,write,csync,54.1962,,
scale-T,zfp_gpu_r16,vol,read,evict,3.9635,,
scale-T,zfp_gpu_r16,vol,read,total,562.5074,,5.521381e+00
