dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,73.7902,62.7199,
scale-T,zfp_gpu_r4,vol,write,flush,0.3657,,
scale-T,zfp_gpu_r4,vol,write,sync,112.0574,,
scale-T,zfp_gpu_r4,vol,write,close,0.2237,,
scale-T,zfp_gpu_r4,vol,write,csync,87.5942,,
scale-T,zfp_gpu_r4,vol,read,evict,2.5275,,
scale-T,zfp_gpu_r4,vol,read,total,132.8397,,5.131883e+00
scale-T,zfp_gpu_r8,vol,write,total,205.8667,31.3600,
scale-T,zfp_gpu_r8,vol,write,flush,0.2800,,
scale-T,zfp_gpu_r8,vol,write,sync,188.6145,,
scale-T,zfp_gpu_r8,vol,write,close,0.1338,,
scale-T,zfp_gpu_r8,vol,write,csync,49.6326,,
scale-T,zfp_gpu_r8,vol,read,evict,2.6077,,
scale-T,zfp_gpu_r8,vol,read,total,145.1606,,5.131883e+00
scale-T,zfp_gpu_r12,vol,write,total,233.4512,20.9067,
scale-T,zfp_gpu_r12,vol,write,flush,0.2253,,
scale-T,zfp_gpu_r12,vol,write,sync,114.1942,,
scale-T,zfp_gpu_r12,vol,write,close,0.1205,,
scale-T,zfp_gpu_r12,vol,write,csync,130.3265,,
scale-T,zfp_gpu_r12,vol,read,evict,4.1567,,
scale-T,zfp_gpu_r12,vol,read,total,153.1158,,5.131883e+00
scale-T,zfp_gpu_r16,vol,write,total,175.5208,15.6800,
scale-T,zfp_gpu_r16,vol,write,flush,0.2364,,
scale-T,zfp_gpu_r16,vol,write,sync,99.5246,,
scale-T,zfp_gpu_r16,vol,write,close,0.1449,,
scale-T,zfp_gpu_r16,vol,write,csync,50.4633,,
scale-T,zfp_gpu_r16,vol,read,evict,1.8257,,
scale-T,zfp_gpu_r16,vol,read,total,572.9458,,5.521381e+00
