dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
scale-T,zfp_gpu_r4,gpu,1,0,564480000,9000016,62.7199,1.1664,73.7902,0.3657,112.0574,0.2237,87.5942,2.5275,0.3560,132.8397,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r8,gpu,1,0,564480000,18000016,31.3600,0.4591,205.8667,0.2800,188.6145,0.1338,49.6326,2.6077,0.2748,145.1606,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r12,gpu,1,0,564480000,27000016,20.9067,0.4886,233.4512,0.2253,114.1942,0.1205,130.3265,4.1567,0.2773,153.1158,5.131883e+00,0.000000e+00,5.705661e+00,-1
scale-T,zfp_gpu_r16,gpu,1,0,564480000,36000016,15.6800,1.1635,175.5208,0.2364,99.5246,0.1449,50.4633,1.8257,0.2711,572.9458,5.521381e+00,0.000000e+00,5.754571e+00,-1
