dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
miranda,zfp_gpu_r4,gpu,1,0,301989888,2359312,127.9991,1.1248,14.5951,0.3373,148.5881,0.1797,50.2595,1.0539,0.3091,67.4263,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r8,gpu,1,0,301989888,4718608,63.9998,0.5123,12.1451,0.2709,121.5562,0.1356,111.7479,1.0411,0.2697,71.0793,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r12,gpu,1,0,301989888,7077904,42.6666,0.4731,11.5089,0.2772,104.4095,0.1319,80.6311,1.0362,0.2703,69.3898,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r16,gpu,1,0,301989888,9437200,31.9999,0.6616,12.4936,0.3034,202.1135,0.1742,108.3974,1.0431,0.2732,72.7709,2.126550e+00,0.000000e+00,3.000046e+00,-1
