dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
miranda,zfp_gpu_r4,gpu,1,0,301989888,2359312,127.9991,1.1120,41.8879,0.3273,104.4988,0.1864,54.1417,1.1247,0.3025,71.8810,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r8,gpu,1,0,301989888,4718608,63.9998,0.5129,114.6799,0.2780,144.2557,0.1351,59.3241,1.1622,0.2722,89.8150,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r12,gpu,1,0,301989888,7077904,42.6666,0.5554,38.8491,0.2768,114.3056,0.1366,86.6035,1.8144,0.2790,73.9097,2.126550e+00,0.000000e+00,3.000046e+00,-1
miranda,zfp_gpu_r16,gpu,1,0,301989888,9437200,31.9999,0.6637,41.7116,0.2903,110.9275,0.1393,86.8882,4.0986,0.2739,72.8010,2.126550e+00,0.000000e+00,3.000046e+00,-1
