dataset,compressor,path,op,phase,ms,ratio,rmse
s3d,zfp_gpu_r4,vol,write,total,25.5950,127.9997,
s3d,zfp_gpu_r4,vol,write,flush,0.3500,,
s3d,zfp_gpu_r4,vol,write,sync,103.2716,,
s3d,zfp_gpu_r4,vol,write,close,0.1952,,
s3d,zfp_gpu_r4,vol,write,csync,65.1061,,
s3d,zfp_gpu_r4,vol,read,evict,1.2212,,
s3d,zfp_gpu_r4,vol,read,total,221.5874,,2.230670e-02
s3d,zfp_gpu_r8,vol,write,total,30.4899,63.9999,
s3d,zfp_gpu_r8,vol,write,flush,0.4526,,
s3d,zfp_gpu_r8,vol,write,sync,164.6086,,
s3d,zfp_gpu_r8,vol,write,close,0.1714,,
s3d,zfp_gpu_r8,vol,write,csync,110.7615,,
s3d,zfp_gpu_r8,vol,read,evict,1.1022,,
s3d,zfp_gpu_r8,vol,read,total,230.7326,,2.230670e-02
s3d,zfp_gpu_r12,vol,write,total,181.3984,42.6666,
s3d,zfp_gpu_r12,vol,write,flush,0.2325,,
s3d,zfp_gpu_r12,vol,write,sync,160.6098,,
s3d,zfp_gpu_r12,vol,write,close,0.1489,,
s3d,zfp_gpu_r12,vol,write,csync,61.9134,,
s3d,zfp_gpu_r12,vol,read,evict,5.2782,,
s3d,zfp_gpu_r12,vol,read,total,234.6746,,2.230670e-02
s3d,zfp_gpu_r16,vol,write,total,148.1084,32.0000,
s3d,zfp_gpu_r16,vol,write,flush,0.2332,,
s3d,zfp_gpu_r16,vol,write,sync,127.7815,,
s3d,zfp_gpu_r16,vol,write,close,0.1180,,
s3d,zfp_gpu_r16,vol,write,csync,126.0505,,
s3d,zfp_gpu_r16,vol,read,evict,1.1464,,
s3d,zfp_gpu_r16,vol,read,total,284.6306,,2.230670e-02
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_device_s3d.h5,ALL,vol,write,file,1310.4079,51.2000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_device_s3d.h5,ALL,vol,read,file,973.0052,,
