dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
nyx_baryon,zfp_gpu_r4,gpu,1,0,536870912,8388624,63.9999,0.9702,71.0629,0.3418,141.7157,0.1949,130.7277,1.2245,0.2784,130.3041,inf,0.000000e+00,inf,-1
nyx_baryon,zfp_gpu_r8,gpu,1,0,536870912,16777232,32.0000,0.5212,227.2201,0.2107,122.2783,0.1766,38.5710,5.3293,0.2726,200.8643,inf,0.000000e+00,inf,-1
nyx_baryon,zfp_gpu_r12,gpu,1,0,536870912,25165840,21.3333,0.4876,269.9742,0.2181,121.6038,0.1156,128.2381,1.1828,0.2768,147.3233,inf,0.000000e+00,inf,-1
nyx_baryon,zfp_gpu_r16,gpu,1,0,536870912,33554448,16.0000,0.6539,162.3678,0.2309,247.1047,0.1494,36.7148,1.0790,0.2724,157.3225,6.201415e-01,0.000000e+00,1.166017e+01,-1
