dataset,compressor,path,op,phase,ms,ratio,rmse
miranda,zfp_gpu_r4,vol,write,total,41.8879,127.9991,
miranda,zfp_gpu_r4,vol,write,flush,0.3273,,
miranda,zfp_gpu_r4,vol,write,sync,104.4988,,
miranda,zfp_gpu_r4,vol,write,close,0.1864,,
miranda,zfp_gpu_r4,vol,write,csync,54.1417,,
miranda,zfp_gpu_r4,vol,read,evict,1.1247,,
miranda,zfp_gpu_r4,vol,read,total,71.8810,,2.126550e+00
miranda,zfp_gpu_r8,vol,write,total,114.6799,63.9998,
miranda,zfp_gpu_r8,vol,write,flush,0.2780,,
miranda,zfp_gpu_r8,vol,write,sync,144.2557,,
miranda,zfp_gpu_r8,vol,write,close,0.1351,,
miranda,zfp_gpu_r8,vol,write,csync,59.3241,,
miranda,zfp_gpu_r8,vol,read,evict,1.1622,,
miranda,zfp_gpu_r8,vol,read,total,89.8150,,2.126550e+00
miranda,zfp_gpu_r12,vol,write,total,38.8491,42.6666,
miranda,zfp_gpu_r12,vol,write,flush,0.2768,,
miranda,zfp_gpu_r12,vol,write,sync,114.3056,,
miranda,zfp_gpu_r12,vol,write,close,0.1366,,
miranda,zfp_gpu_r12,vol,write,csync,86.6035,,
miranda,zfp_gpu_r12,vol,read,evict,1.8144,,
miranda,zfp_gpu_r12,vol,read,total,73.9097,,2.126550e+00
miranda,zfp_gpu_r16,vol,write,total,41.7116,31.9999,
miranda,zfp_gpu_r16,vol,write,flush,0.2903,,
miranda,zfp_gpu_r16,vol,write,sync,110.9275,,
miranda,zfp_gpu_r16,vol,write,close,0.1393,,
miranda,zfp_gpu_r16,vol,write,csync,86.8882,,
miranda,zfp_gpu_r16,vol,read,evict,4.0986,,
miranda,zfp_gpu_r16,vol,read,total,72.8010,,2.126550e+00
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_host_miranda.h5,ALL,vol,write,file,1002.6876,51.1999,
/lcrc/project/SDR/kdougherty/vol_bench_h5/g2_host_miranda.h5,ALL,vol,read,file,309.5343,,
