dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,transfer_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
s3d_zfp_gpu_r4,zfp,write,248.5638,0.0000,131.5488,0.0585,116.9480,97.9953,0.0000,32.7410,0.8126,97.9953,0.0085,0.000034
s3d_zfp_gpu_r4,zfp,read,247.6261,0.0000,212.0716,0.0000,35.5431,211.9341,0.0000,0.0000,0.1376,211.9341,0.0114,0.000046
s3d_zfp_gpu_r8,zfp,write,388.5499,0.0000,235.4070,0.0299,153.1108,170.6031,0.0000,64.7639,0.0400,170.6031,0.0022,0.000006
s3d_zfp_gpu_r8,zfp,read,263.9033,0.0000,215.4468,0.0000,48.4532,215.3633,0.0000,0.0000,0.0836,215.3633,0.0032,0.000012
s3d_zfp_gpu_r12,zfp,write,495.0567,0.0000,319.9573,0.0285,175.0688,276.0281,0.0000,43.8928,0.0364,276.0281,0.0021,0.000004
s3d_zfp_gpu_r12,zfp,read,407.9570,0.0000,346.8397,0.0000,61.1140,346.7633,0.0000,0.0000,0.0764,346.7633,0.0033,0.000008
s3d_zfp_gpu_r16,zfp,write,322.6377,0.0000,139.2440,0.0272,183.3642,90.5331,0.0000,48.6749,0.0359,90.5331,0.0023,0.000007
s3d_zfp_gpu_r16,zfp,read,296.4517,0.0000,218.0996,0.0000,78.3486,218.0221,0.0000,0.0000,0.0775,218.0221,0.0035,0.000012
