dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
miranda,zfp_gpu_r4,gpu,1,0,301989888,18874384,16.0000,1.0900,152.6143,0.2717,137.1446,0.1993,53.0843,1.0745,0.2985,76.1328,1.323060e-04,0.000000e+00,1.231516e-02,-1
miranda,zfp_gpu_r8,gpu,1,0,301989888,37748752,8.0000,0.4635,135.9078,0.2359,139.9419,0.1152,62.6528,4.0487,0.2689,86.0835,6.719211e-06,0.000000e+00,6.823176e-04,-1
miranda,zfp_gpu_r12,gpu,1,0,301989888,56623120,5.3333,0.4848,154.7339,0.2179,207.5628,0.1093,53.4048,1.0849,0.2765,85.9949,4.240786e-07,0.000000e+00,4.203496e-05,-1
miranda,zfp_gpu_r16,gpu,1,0,301989888,75497488,4.0000,0.5175,140.2838,0.2313,160.8285,0.1083,169.8981,7.8617,0.3608,104.7036,2.650153e-08,0.000000e+00,2.833496e-06,-1
