dataset,compressor,path,op,phase,ms,ratio,rmse
miranda,zfp_gpu_r4,vol,write,total,152.6143,16.0000,
miranda,zfp_gpu_r4,vol,write,flush,0.2717,,
miranda,zfp_gpu_r4,vol,write,sync,137.1446,,
miranda,zfp_gpu_r4,vol,write,close,0.1993,,
miranda,zfp_gpu_r4,vol,write,csync,53.0843,,
miranda,zfp_gpu_r4,vol,read,evict,1.0745,,
miranda,zfp_gpu_r4,vol,read,total,76.1328,,1.323060e-04
miranda,zfp_gpu_r8,vol,write,total,135.9078,8.0000,
miranda,zfp_gpu_r8,vol,write,flush,0.2359,,
miranda,zfp_gpu_r8,vol,write,sync,139.9419,,
miranda,zfp_gpu_r8,vol,write,close,0.1152,,
miranda,zfp_gpu_r8,vol,write,csync,62.6528,,
miranda,zfp_gpu_r8,vol,read,evict,4.0487,,
miranda,zfp_gpu_r8,vol,read,total,86.0835,,6.719211e-06
miranda,zfp_gpu_r12,vol,write,total,154.7339,5.3333,
miranda,zfp_gpu_r12,vol,write,flush,0.2179,,
miranda,zfp_gpu_r12,vol,write,sync,207.5628,,
miranda,zfp_gpu_r12,vol,write,close,0.1093,,
miranda,zfp_gpu_r12,vol,write,csync,53.4048,,
miranda,zfp_gpu_r12,vol,read,evict,1.0849,,
miranda,zfp_gpu_r12,vol,read,total,85.9949,,4.240786e-07
miranda,zfp_gpu_r16,vol,write,total,140.2838,4.0000,
miranda,zfp_gpu_r16,vol,write,flush,0.2313,,
miranda,zfp_gpu_r16,vol,write,sync,160.8285,,
miranda,zfp_gpu_r16,vol,write,close,0.1083,,
miranda,zfp_gpu_r16,vol,write,csync,169.8981,,
miranda,zfp_gpu_r16,vol,read,evict,7.8617,,
miranda,zfp_gpu_r16,vol,read,total,104.7036,,2.650153e-08
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_device_miranda.h5,ALL,vol,write,file,1572.1025,6.4000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_device_miranda.h5,ALL,vol,read,file,354.1195,,
