dataset,compressor,path,op,phase,ms,ratio,rmse
s3d,zfp_gpu_r4,vol,write,total,181.0841,16.0000,
s3d,zfp_gpu_r4,vol,write,flush,0.2845,,
s3d,zfp_gpu_r4,vol,write,sync,187.5944,,
s3d,zfp_gpu_r4,vol,write,close,0.1573,,
s3d,zfp_gpu_r4,vol,write,csync,133.1741,,
s3d,zfp_gpu_r4,vol,read,evict,3.5125,,
s3d,zfp_gpu_r4,vol,read,total,481.1699,,5.735426e-08
s3d,zfp_gpu_r8,vol,write,total,253.6545,8.0000,
s3d,zfp_gpu_r8,vol,write,flush,102.2135,,
s3d,zfp_gpu_r8,vol,write,sync,155.0938,,
s3d,zfp_gpu_r8,vol,write,close,0.1102,,
s3d,zfp_gpu_r8,vol,write,csync,92.7015,,
s3d,zfp_gpu_r8,vol,read,evict,8.6605,,
s3d,zfp_gpu_r8,vol,read,total,258.4529,,1.567633e-09
s3d,zfp_gpu_r12,vol,write,total,236.2818,5.3333,
s3d,zfp_gpu_r12,vol,write,flush,95.2362,,
s3d,zfp_gpu_r12,vol,write,sync,139.0699,,
s3d,zfp_gpu_r12,vol,write,close,0.1496,,
s3d,zfp_gpu_r12,vol,write,csync,59.9131,,
s3d,zfp_gpu_r12,vol,read,evict,1.0943,,
s3d,zfp_gpu_r12,vol,read,total,308.4099,,8.514477e-11
s3d,zfp_gpu_r16,vol,write,total,302.4913,4.0000,
s3d,zfp_gpu_r16,vol,write,flush,141.6376,,
s3d,zfp_gpu_r16,vol,write,sync,114.7055,,
s3d,zfp_gpu_r16,vol,write,close,0.1430,,
s3d,zfp_gpu_r16,vol,write,csync,102.5494,,
s3d,zfp_gpu_r16,vol,read,evict,1.1150,,
s3d,zfp_gpu_r16,vol,read,total,392.5982,,5.312260e-12
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_device_s3d.h5,ALL,vol,write,file,2301.1287,6.4000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_device_s3d.h5,ALL,vol,read,file,1441.8685,,
