dataset,compressor,path,op,phase,ms,ratio,rmse
s3d,zfp_gpu_r4,vol,write,total,252.2467,16.0000,
s3d,zfp_gpu_r4,vol,write,flush,0.2766,,
s3d,zfp_gpu_r4,vol,write,sync,129.7055,,
s3d,zfp_gpu_r4,vol,write,close,0.1610,,
s3d,zfp_gpu_r4,vol,write,csync,138.6160,,
s3d,zfp_gpu_r4,vol,read,evict,1.1734,,
s3d,zfp_gpu_r4,vol,read,total,247.7456,,5.735426e-08
s3d,zfp_gpu_r8,vol,write,total,388.6161,8.0000,
s3d,zfp_gpu_r8,vol,write,flush,97.9411,,
s3d,zfp_gpu_r8,vol,write,sync,103.2137,,
s3d,zfp_gpu_r8,vol,write,close,0.1215,,
s3d,zfp_gpu_r8,vol,write,csync,87.6901,,
s3d,zfp_gpu_r8,vol,read,evict,1.6693,,
s3d,zfp_gpu_r8,vol,read,total,264.0199,,1.567633e-09
s3d,zfp_gpu_r12,vol,write,total,495.1174,5.3333,
s3d,zfp_gpu_r12,vol,write,flush,85.7929,,
s3d,zfp_gpu_r12,vol,write,sync,129.4411,,
s3d,zfp_gpu_r12,vol,write,close,0.1149,,
s3d,zfp_gpu_r12,vol,write,csync,64.7144,,
s3d,zfp_gpu_r12,vol,read,evict,4.0921,,
s3d,zfp_gpu_r12,vol,read,total,408.0788,,8.514477e-11
s3d,zfp_gpu_r16,vol,write,total,322.7313,4.0000,
s3d,zfp_gpu_r16,vol,write,flush,102.4544,,
s3d,zfp_gpu_r16,vol,write,sync,124.6478,,
s3d,zfp_gpu_r16,vol,write,close,0.1122,,
s3d,zfp_gpu_r16,vol,write,csync,101.5972,,
s3d,zfp_gpu_r16,vol,read,evict,1.0056,,
s3d,zfp_gpu_r16,vol,read,total,296.5701,,5.312260e-12
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_host_s3d.h5,ALL,vol,write,file,2627.9090,6.4000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_host_s3d.h5,ALL,vol,read,file,1217.7482,,
