dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
scale-T,zfp_gpu_r4,gpu,1,0,564480000,72000016,7.8400,1.1668,281.4909,0.2940,164.1503,0.1928,74.7476,1.2767,0.3030,157.9087,2.433547e-05,0.000000e+00,1.458645e-03,-1
scale-T,zfp_gpu_r8,gpu,1,0,564480000,144000016,3.9200,0.5021,296.4754,134.9943,136.4540,0.1741,146.2370,9.5124,0.2940,180.4048,1.732433e-06,0.000000e+00,1.001358e-04,-1
scale-T,zfp_gpu_r12,gpu,1,0,564480000,216000016,2.6133,0.5071,316.4437,149.3214,142.4570,0.1333,177.8848,1.2654,0.2682,201.4841,1.085722e-07,0.000000e+00,6.198883e-06,-1
scale-T,zfp_gpu_r16,gpu,1,0,564480000,288000016,1.9600,0.7244,438.1514,168.1701,180.3167,0.1242,44.8333,1.1974,0.2725,579.7476,5.521381e+00,0.000000e+00,5.754571e+00,-1
