dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,transfer_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
ocean_temp_zfp_gpu_r4,zfp,write,142.4207,0.0000,28.8214,0.0426,113.5481,18.7067,0.0000,9.3302,0.7844,18.7067,0.0086,0.000060
ocean_temp_zfp_gpu_r4,zfp,read,43.7829,0.0000,32.8722,0.0000,10.8994,32.7981,0.0000,0.0000,0.0742,32.7981,0.0113,0.000257
ocean_temp_zfp_gpu_r8,zfp,write,146.9208,0.0000,28.4839,0.0287,118.4056,18.8089,0.0000,9.6412,0.0339,18.8089,0.0026,0.000018
ocean_temp_zfp_gpu_r8,zfp,read,44.7579,0.0000,31.1843,0.0000,13.5701,31.1115,0.0000,0.0000,0.0728,31.1115,0.0036,0.000080
ocean_temp_zfp_gpu_r12,zfp,write,158.6921,0.0000,26.6785,0.0285,131.9826,14.6684,0.0000,11.9746,0.0355,14.6684,0.0025,0.000016
ocean_temp_zfp_gpu_r12,zfp,read,49.9692,0.0000,32.7492,0.0000,17.2167,32.6756,0.0000,0.0000,0.0736,32.6756,0.0032,0.000064
ocean_temp_zfp_gpu_r16,zfp,write,171.7730,0.0000,31.9546,0.0286,139.7875,14.6117,0.0000,17.3060,0.0370,14.6117,0.0023,0.000013
ocean_temp_zfp_gpu_r16,zfp,read,56.3159,0.0000,35.3459,0.0000,20.9664,35.2742,0.0000,0.0000,0.0717,35.2742,0.0035,0.000063
