dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,transfer_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
scale-T_zfp_gpu_r4,zfp,write,208.6485,0.0000,50.1181,0.0381,158.4837,5.9582,0.0000,43.3326,0.8273,5.9582,0.0085,0.000041
scale-T_zfp_gpu_r4,zfp,read,158.4338,0.0000,117.7088,0.0000,40.7142,117.6292,0.0000,0.0000,0.0796,117.6292,0.0108,0.000068
scale-T_zfp_gpu_r8,zfp,write,258.5275,0.0000,85.8004,0.0126,172.7123,2.0405,0.0000,83.7302,0.0297,2.0405,0.0023,0.000009
scale-T_zfp_gpu_r8,zfp,read,180.5823,0.0000,124.5759,0.0000,56.0028,124.5014,0.0000,0.0000,0.0745,124.5014,0.0035,0.000020
scale-T_zfp_gpu_r12,zfp,write,228.9692,0.0000,61.2422,0.0126,167.7125,1.9618,0.0000,59.2484,0.0319,1.9618,0.0019,0.000008
scale-T_zfp_gpu_r12,zfp,read,200.3373,0.0000,129.5827,0.0000,70.7513,129.5057,0.0000,0.0000,0.0770,129.5057,0.0033,0.000017
scale-T_zfp_gpu_r16,zfp,write,263.0439,0.0000,66.2362,0.0120,196.7931,2.0224,0.0000,64.1826,0.0312,2.0224,0.0026,0.000010
scale-T_zfp_gpu_r16,zfp,read,463.4178,0.0000,373.4734,0.0000,89.9411,373.3946,0.0000,0.0000,0.0788,373.3946,0.0033,0.000007
