dataset,compressor,codec_kind,chunk_n,rep,logical_bytes,stored_bytes,ratio,create_ms,write_ms,flush_ms,sync_ms,close_ms,csync_ms,evict_ms,open_ms,read_ms,rmse,abs_thresh,maxae,bound_ok
scale-T,zfp_gpu_r4,gpu,1,0,564480000,72000016,7.8400,1.1652,209.0552,0.3015,182.6633,0.2141,51.6655,1.0406,0.3007,158.5558,2.433547e-05,0.000000e+00,1.458645e-03,-1
scale-T,zfp_gpu_r8,gpu,1,0,564480000,144000016,3.9200,0.4558,258.5979,94.0775,117.7911,0.1129,152.2815,1.9123,0.2663,180.6985,1.732433e-06,0.000000e+00,1.001358e-04,-1
scale-T,zfp_gpu_r12,gpu,1,0,564480000,216000016,2.6133,0.5189,229.0462,123.8062,120.7152,0.1315,184.8938,1.0991,0.2713,200.4572,1.085722e-07,0.000000e+00,6.198883e-06,-1
scale-T,zfp_gpu_r16,gpu,1,0,564480000,288000016,1.9600,0.5230,263.1069,160.7008,122.0910,0.1395,50.2913,4.5392,0.2724,463.5321,5.521381e+00,0.000000e+00,5.754571e+00,-1
