dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,transfer_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
ocean_temp_zfp_gpu_r4,zfp,write,152.6066,0.0000,16.2184,0.0250,136.3550,5.4907,0.0000,9.9658,0.7619,5.4907,0.0082,0.000054
ocean_temp_zfp_gpu_r4,zfp,read,41.7052,0.0000,31.1232,0.0000,10.5702,31.0497,0.0000,0.0000,0.0735,31.0497,0.0119,0.000284
ocean_temp_zfp_gpu_r8,zfp,write,128.2745,0.0000,12.3198,0.0118,115.9409,1.5756,0.0000,10.7152,0.0290,1.5756,0.0021,0.000016
ocean_temp_zfp_gpu_r8,zfp,read,44.2381,0.0000,31.0862,0.0000,13.1483,31.0126,0.0000,0.0000,0.0736,31.0126,0.0036,0.000081
ocean_temp_zfp_gpu_r12,zfp,write,165.6171,0.0000,13.9256,0.0120,151.6772,1.6250,0.0000,12.2715,0.0290,1.6250,0.0022,0.000013
ocean_temp_zfp_gpu_r12,zfp,read,49.2185,0.0000,32.3880,0.0000,16.8269,32.3153,0.0000,0.0000,0.0727,32.3153,0.0036,0.000073
ocean_temp_zfp_gpu_r16,zfp,write,160.4457,0.0000,15.5652,0.0116,144.8668,1.5844,0.0000,13.9501,0.0308,1.5844,0.0020,0.000013
ocean_temp_zfp_gpu_r16,zfp,read,55.3162,0.0000,35.1377,0.0000,20.1755,35.0631,0.0000,0.0000,0.0746,35.0631,0.0030,0.000054
