dataset,compressor,path,op,phase,ms,ratio,rmse
nyx_baryon,zfp_gpu_r4,vol,write,total,219.3883,8.0000,
nyx_baryon,zfp_gpu_r4,vol,write,flush,0.3469,,
nyx_baryon,zfp_gpu_r4,vol,write,sync,152.0712,,
nyx_baryon,zfp_gpu_r4,vol,write,close,0.1632,,
nyx_baryon,zfp_gpu_r4,vol,write,csync,44.8905,,
nyx_baryon,zfp_gpu_r4,vol,read,evict,6.0273,,
nyx_baryon,zfp_gpu_r4,vol,read,total,159.1568,,3.990804e-03
nyx_baryon,zfp_gpu_r8,vol,write,total,265.7494,4.0000,
nyx_baryon,zfp_gpu_r8,vol,write,flush,123.1493,,
nyx_baryon,zfp_gpu_r8,vol,write,sync,116.9768,,
nyx_baryon,zfp_gpu_r8,vol,write,close,0.1096,,
nyx_baryon,zfp_gpu_r8,vol,write,csync,46.9984,,
nyx_baryon,zfp_gpu_r8,vol,read,evict,1.5724,,
nyx_baryon,zfp_gpu_r8,vol,read,total,172.6783,,2.611385e-04
nyx_baryon,zfp_gpu_r12,vol,write,total,362.0808,2.6667,
nyx_baryon,zfp_gpu_r12,vol,write,flush,82.2343,,
nyx_baryon,zfp_gpu_r12,vol,write,sync,114.6496,,
nyx_baryon,zfp_gpu_r12,vol,write,close,0.1229,,
nyx_baryon,zfp_gpu_r12,vol,write,csync,47.6460,,
nyx_baryon,zfp_gpu_r12,vol,read,evict,0.1985,,
nyx_baryon,zfp_gpu_r12,vol,read,total,262.4248,,1.632452e-05
nyx_baryon,zfp_gpu_r16,vol,write,total,301.5826,2.0000,
nyx_baryon,zfp_gpu_r16,vol,write,flush,128.0374,,
nyx_baryon,zfp_gpu_r16,vol,write,sync,146.8563,,
nyx_baryon,zfp_gpu_r16,vol,write,close,0.1139,,
nyx_baryon,zfp_gpu_r16,vol,write,csync,35.4508,,
nyx_baryon,zfp_gpu_r16,vol,read,evict,2.4102,,
nyx_baryon,zfp_gpu_r16,vol,read,total,214.1784,,1.020320e-06
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_none_nyx_baryon.h5,ALL,vol,write,file,2191.0548,3.2000,
/lcrc/project/SDR/kdougherty/vol_bench_h5/devres_none_nyx_baryon.h5,ALL,vol,read,file,809.6802,,
