dataset,compressor,path,op,phase,ms,ratio,rmse
scale-T,zfp_gpu_r4,vol,write,total,281.4909,7.8400,
scale-T,zfp_gpu_r4,vol,write,flush,0.2940,,
scale-T,zfp_gpu_r4,vol,write,sync,164.1503,,
scale-T,zfp_gpu_r4,vol,write,close,0.1928,,
scale-T,zfp_gpu_r4,vol,write,csync,74.7476,,
scale-T,zfp_gpu_r4,vol,read,evict,1.2767,,
scale-T,zfp_gpu_r4,vol,read,total,157.9087,,2.433547e-05
scale-T,zfp_gpu_r8,vol,write,total,296.4754,3.9200,
scale-T,zfp_gpu_r8,vol,write,flush,134.9943,,
scale-T,zfp_gpu_r8,vol,write,sync,136.4540,,
scale-T,zfp_gpu_r8,vol,write,close,0.1741,,
scale-T,zfp_gpu_r8,vol,write,csync,146.2370,,
scale-T,zfp_gpu_r8,vol,read,evict,9.5124,,
scale-T,zfp_gpu_r8,vol,read,total,180.4048,,1.732433e-06
scale-T,zfp_gpu_r12,vol,write,total,316.4437,2.6133,
scale-T,zfp_gpu_r12,vol,write,flush,149.3214,,
scale-T,zfp_gpu_r12,vol,write,sync,142.4570,,
scale-T,zfp_gpu_r12,vol,write,close,0.1333,,
scale-T,zfp_gpu_r12,vol,write,csync,177.8848,,
scale-T,zfp_gpu_r12,vol,read,evict,1.2654,,
scale-T,zfp_gpu_r12,vol,read,total,201.4841,,1.085722e-07
scale-T,zfp_gpu_r16,vol,write,total,438.1514,1.9600,
scale-T,zfp_gpu_r16,vol,write,flush,168.1701,,
scale-T,zfp_gpu_r16,vol,write,sync,180.3167,,
scale-T,zfp_gpu_r16,vol,write,close,0.1242,,
scale-T,zfp_gpu_r16,vol,write,csync,44.8333,,
scale-T,zfp_gpu_r16,vol,read,evict,1.1974,,
scale-T,zfp_gpu_r16,vol,read,total,579.7476,,5.521381e+00
