dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,transfer_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
scale-T_zfp_gpu_r4,zfp,write,220.0599,0.0000,98.1221,0.0589,121.8706,59.8361,0.0000,37.2854,1.0006,59.8361,0.0083,0.000038
scale-T_zfp_gpu_r4,zfp,read,161.4938,0.0000,119.9880,0.0000,41.4941,119.9048,0.0000,0.0000,0.0832,119.9048,0.0117,0.000072
scale-T_zfp_gpu_r8,zfp,write,271.4779,0.0000,131.8699,0.0269,139.5791,57.2258,0.0000,74.6081,0.0360,57.2258,0.0019,0.000007
scale-T_zfp_gpu_r8,zfp,read,182.1848,0.0000,126.6989,0.0000,55.4825,126.6200,0.0000,0.0000,0.0789,126.6200,0.0034,0.000019
scale-T_zfp_gpu_r12,zfp,write,268.2976,0.0000,106.6581,0.0275,161.6099,57.2680,0.0000,49.3545,0.0357,57.2680,0.0021,0.000008
scale-T_zfp_gpu_r12,zfp,read,265.0055,0.0000,194.6953,0.0000,70.3068,194.6158,0.0000,0.0000,0.0795,194.6158,0.0035,0.000013
scale-T_zfp_gpu_r16,zfp,write,321.6959,0.0000,116.7114,0.0292,204.9531,61.1047,0.0000,55.5704,0.0363,61.1047,0.0022,0.000007
scale-T_zfp_gpu_r16,zfp,read,590.3107,0.0000,504.2828,0.0000,86.0246,504.2025,0.0000,0.0000,0.0803,504.2025,0.0033,0.000006
