dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,transfer_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
scale-T_zfp_gpu_r4,zfp,write,281.0364,0.0000,96.2484,0.0564,184.7228,59.5518,0.0000,35.8647,0.8320,59.5518,0.0088,0.000031
scale-T_zfp_gpu_r4,zfp,read,157.7899,0.0000,118.2164,0.0000,39.5620,118.1374,0.0000,0.0000,0.0791,118.1374,0.0116,0.000073
scale-T_zfp_gpu_r8,zfp,write,296.4070,0.0000,128.0787,0.0271,168.2990,57.8381,0.0000,70.2037,0.0369,57.8381,0.0023,0.000008
scale-T_zfp_gpu_r8,zfp,read,180.2939,0.0000,126.6815,0.0000,53.6090,126.6052,0.0000,0.0000,0.0763,126.6052,0.0034,0.000019
scale-T_zfp_gpu_r12,zfp,write,316.3687,0.0000,109.4730,0.0269,206.8666,57.2936,0.0000,52.1422,0.0372,57.2936,0.0023,0.000007
scale-T_zfp_gpu_r12,zfp,read,201.3660,0.0000,131.2025,0.0000,70.1601,131.1198,0.0000,0.0000,0.0826,131.1198,0.0035,0.000017
scale-T_zfp_gpu_r16,zfp,write,438.0914,0.0000,246.4858,0.0278,191.5756,190.9465,0.0000,55.5042,0.0352,190.9465,0.0022,0.000005
scale-T_zfp_gpu_r16,zfp,read,579.6347,0.0000,489.9227,0.0000,89.7086,489.8432,0.0000,0.0000,0.0795,489.8432,0.0034,0.000006
